,Trump_Electoral_Votes,Biden_Electoral_Votes,Trump_Total_Votes,Biden_Total_Votes,Trump_Vote_Percent,Biden_Vote_Percent
0,305,233,62344142,61599199,48.262,47.685
0,318,220,62345828,61600634,48.261,47.685
0,320,218,62341231,61601431,48.258,47.685
0,320,218,62341857,61591556,48.261,47.68
0,333,205,62335874,61596685,48.258,47.685
0,320,218,62334291,61596557,48.257,47.686
0,320,218,62341997,61596834,48.26,47.683
0,305,233,62344551,61593318,48.262,47.68
0,333,205,62342868,61600957,48.261,47.686
0,320,218,62343105,61595855,48.262,47.683
0,305,233,61583838,62413990,47.673,48.316
0,305,233,61593056,62404300,47.683,48.311
0,301,237,61585308,62412056,47.675,48.315
0,287,251,61599688,62401408,47.684,48.305
0,287,251,61586288,62403831,47.677,48.31
0,291,247,61589227,62412204,47.676,48.314
0,291,247,61582113,62410029,47.674,48.315
0,287,251,61586879,62404373,47.677,48.31
0,291,247,61600096,62401251,47.685,48.305
0,301,237,61581813,62405421,47.676,48.314
0,287,251,60862485,63192602,47.116,48.919
0,287,251,60849512,63203756,47.105,48.928
0,287,251,60857158,63196937,47.112,48.923
0,287,251,60855648,63197548,47.112,48.925
0,287,251,60866699,63189268,47.117,48.915
0,287,251,60852353,63192293,47.11,48.922
0,287,251,60856654,63198410,47.111,48.924
0,287,251,60855666,63189440,47.11,48.917
0,287,251,60853715,63186886,47.112,48.918
0,287,251,60863266,63185043,47.118,48.915
0,268,270,60138087,63977145,46.554,49.526
0,287,251,60138161,63968330,46.555,49.52
0,268,270,60147711,63963255,46.561,49.515
0,268,270,60140782,63964411,46.557,49.517
0,268,270,60144760,63971249,46.557,49.519
0,268,270,60140773,63969508,46.557,49.521
0,287,251,60146327,63971672,46.557,49.518
0,268,270,60147128,63960545,46.562,49.514
0,268,270,60144884,63974963,46.555,49.52
0,268,270,60129646,63975092,46.549,49.526
0,268,270,59448983,64720249,46.018,50.098
0,268,270,59444684,64718446,46.018,50.1
0,268,270,59440858,64712965,46.017,50.098
0,257,281,59447938,64720399,46.019,50.101
0,268,270,59434703,64724711,46.011,50.106
0,268,270,59445107,64715978,46.018,50.098
0,268,270,59454345,64713780,46.023,50.095
0,257,281,59447114,64723898,46.017,50.101
0,257,281,59434088,64724948,46.011,50.107
0,268,270,59446552,64713728,46.02,50.097
