,State,Electoral_Votes,Winner,Total_Vote_Count,Trump_Vote_Count,Biden_Vote_Count,Trump_Vote_Percent,Biden_Vote_Percent
0,Alabama,9,Trump,1999733,1170862,755072,58.551,37.759
1,Alaska,3,Trump,298257,163172,124040,54.709,41.588
2,Arizona,11,Trump,2848395,1433718,1304213,50.334,45.788
3,Arkansas,6,Trump,1087325,752748,287834,69.229,26.472
4,California,54,Biden,13620170,4547375,8521502,33.387,62.565
5,Colorado,10,Biden,2529244,1064939,1364716,42.105,53.957
6,Connecticut,7,Biden,1422108,607964,758245,42.751,53.318
7,Delaware,3,Biden,462450,191579,251072,41.427,54.292
8,Florida,30,Trump,7812765,4025128,3491090,51.52,44.684
9,Georgia,16,Trump,4218093,2207608,1833393,52.337,43.465
10,Hawaii,4,Biden,520602,196395,304986,37.725,58.583
11,Idaho,4,Trump,733389,492615,208735,67.17,28.462
12,Illinois,19,Biden,4886634,2032471,2633478,41.592,53.891
13,Indiana,11,Trump,2605583,1572209,931560,60.34,35.752
14,Iowa,6,Trump,1384234,822144,503082,59.393,36.344
15,Kansas,6,Trump,1269222,743723,469165,58.597,36.965
16,Kentucky,8,Trump,1855368,1235781,539608,66.606,29.084
17,Louisiana,8,Trump,1771755,996448,706634,56.241,39.883
18,Maine,4,Trump,684148,331561,323213,48.463,47.243
19,Maryland,10,Biden,2639771,849012,1684046,32.162,63.795
20,Massachusetts,11,Biden,2893268,901740,1864379,31.167,64.439
21,Michigan,15,Biden,4635118,2225518,2225914,48.014,48.023
22,Minnesota,10,Biden,2604178,1220701,1280699,46.875,49.179
23,Mississippi,6,Trump,1257604,719033,487012,57.175,38.725
24,Missouri,10,Trump,2824309,1564401,1154527,55.391,40.878
25,Montana,4,Trump,489831,300197,169663,61.286,34.637
26,Nebraska,5,Trump,746132,436744,276446,58.534,37.051
27,Nevada,6,Trump,1148199,585428,518046,50.987,45.118
28,New Hampshire,4,Biden,643473,301980,315545,46.93,49.038
29,New Jersey,14,Trump,3522620,1708841,1662323,48.511,47.19
30,New Mexico,5,Biden,821123,361262,427294,43.996,52.038
31,New York,28,Biden,7114129,3076880,3755763,43.25,52.793
32,North Carolina,16,Trump,3662968,1892846,1614322,51.675,44.071
33,North Dakota,3,Trump,333899,226339,94632,67.787,28.342
34,Ohio,17,Trump,4711836,2448870,2088717,51.973,44.329
35,Oklahoma,7,Trump,1548566,1018698,464106,65.783,29.97
36,Oregon,8,Biden,2063690,806000,1153998,39.056,55.919
