State,Electoral_Votes,Winner,Total_Vote_Count,Trump_Vote_Count,Biden_Vote_Count,Trump_Vote_Percent,Biden_Vote_Percent,Trump_Polling_Error,Biden_Polling_Error
Washington,12,Biden,3310404,1345904,1830079,40.657,55.283,-4,-4
Washington,12,Biden,3311763,1347449,1830281,40.687,55.266,-4,-4
Washington,12,Biden,3311532,1347957,1829470,40.705,55.245,-4,-4
Washington,12,Biden,3311144,1348474,1828441,40.725,55.221,-4,-4
Washington,12,Biden,3310208,1347138,1828772,40.696,55.246,-4,-4
Washington,12,Biden,3311359,1345594,1831634,40.636,55.314,-4,-4
Washington,12,Biden,3311729,1347302,1829619,40.683,55.247,-4,-4
Washington,12,Biden,3310484,1347173,1829246,40.694,55.256,-4,-4
Washington,12,Biden,3311788,1347093,1830329,40.676,55.267,-4,-4
Washington,12,Biden,3311843,1345917,1832154,40.64,55.321,-4,-4
Washington,12,Biden,3311780,1330891,1848106,40.187,55.804,-4,-3
Washington,12,Biden,3310730,1330588,1847190,40.19,55.794,-4,-3
Washington,12,Biden,3311843,1330822,1847810,40.184,55.794,-4,-3
Washington,12,Biden,3310456,1330214,1847488,40.182,55.808,-4,-3
Washington,12,Biden,3312657,1331637,1848860,40.198,55.812,-4,-3
Washington,12,Biden,3311675,1333874,1845177,40.278,55.717,-4,-3
Washington,12,Biden,3312038,1330779,1848607,40.18,55.815,-4,-3
Washington,12,Biden,3310502,1329638,1847795,40.164,55.816,-4,-3
Washington,12,Biden,3310347,1332196,1845154,40.243,55.739,-4,-3
Washington,12,Biden,3310948,1330930,1847725,40.198,55.807,-4,-3
Washington,12,Biden,3310974,1314355,1865276,39.697,56.336,-4,-2
